EASY|Java OOP|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Designing an extensible notification sender|A service must send email today and may add SMS next quarter. How would you structure it so delivery channels can be added without rewriting business logic?|A strong answer separates notification policy from channel delivery, defines a small interface, injects implementations, and discusses failure handling and channel-specific configuration.|Amazon,Microsoft
EASY|Java Collections|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Choosing a collection for membership checks|An API rejects duplicate invite codes and frequently checks whether a code was already seen. Which Java collection would you choose and what trade-offs matter?|Discuss Set/HashSet average constant-time membership, equality/hashCode contract, expected size, collision behavior, and when ordering or concurrency changes the choice.|Amazon,Oracle
EASY|Java Exceptions|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Handling a downstream timeout|A controller calls a payment provider that can time out. How should the application represent and handle that failure?|Distinguish timeout from validation failure, map a stable safe API error, log correlation context without secrets, set bounded timeouts, and consider retry safety.|Amazon,Microsoft
EASY|SQL Joins|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Finding customers without orders|A report needs every customer, including customers who have never placed an order. Describe the query shape and the common filtering trap.|Use LEFT JOIN from customers to orders; filters on the nullable right side in WHERE can remove unmatched rows, so place suitable predicates in ON or handle NULL explicitly.|Amazon,Google
EASY|SQL Transactions|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Transferring money between accounts|Two account balances must change together. Explain how a database transaction protects this operation and what should happen on failure.|Debit and credit in one transaction, validate funds, commit both or roll both back, enforce constraints, and consider concurrent updates/locking.|Amazon,Oracle
EASY|Database Indexes|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Indexing an account lookup|An endpoint frequently queries accounts by a unique external reference. What index would you consider and how would you confirm it helps?|A unique B-tree index is a likely fit; inspect query plans and selectivity, account for write/storage cost, and make the constraint authoritative.|Amazon,Microsoft
EASY|HTTP|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER,BACKEND_DEVELOPER|Retrying a failed request|A client receives HTTP 503 while reading data. Which requests are safe to retry automatically, and what information should guide the policy?|Retry safe/idempotent operations with bounded exponential backoff and jitter; honor Retry-After, cap attempts, and avoid retry storms.|Google,Amazon
EASY|REST|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Designing a resource update|An API lets a user replace their profile settings. How would you choose between PUT and PATCH and describe their semantics?|PUT replaces a representation and is idempotent; PATCH applies partial changes with defined semantics; discuss validation, concurrency, and response codes.|Microsoft,Amazon
EASY|HTML Accessibility|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER|Accessible form errors|A registration form marks invalid fields only with a red border. What should be added so more users can identify and correct errors?|Associate textual errors with controls, expose invalid state, focus or summarize errors after submit, preserve labels, and avoid color as the sole signal.|Google,Meta
EASY|CSS Responsive Design|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER|Responsive navigation layout|A desktop navigation bar overflows on a narrow phone. How would you make it responsive without hiding essential actions?|Use flexible layout and sensible breakpoints, allow wrapping or a keyboard-accessible menu, preserve focus order, test zoom and touch targets.|Meta,Airbnb
EASY|JavaScript Async|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER|Showing request loading state|A search component sends a request as the user types. What UI states and race condition should it handle?|Represent loading, success, empty, and error; cancel or ignore stale requests so an earlier slow response cannot overwrite newer results.|Google,Meta
EASY|React State|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER|Updating nested component state|A settings component stores an object in state. Why should it replace the object rather than mutate a property in place?|React state updates rely on identity; create a new object, preserve untouched fields, and avoid deriving duplicated state unnecessarily.|Meta,Airbnb
EASY|Browser Storage|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER|Choosing browser storage for a draft|A user wants a non-sensitive form draft restored after a refresh on the same browser. Compare sessionStorage and localStorage and note a security concern.|sessionStorage is tab-scoped; localStorage persists across sessions; both are readable by same-origin scripts, so never store credentials or secrets there.|Google,Microsoft
EASY|Web Security|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER,BACKEND_DEVELOPER|Rendering user supplied text|A comment contains markup-like text and must appear literally on a page. How should it be rendered safely?|Use text APIs/framework escaping rather than HTML injection; if rich HTML is required, sanitize with a vetted allowlist and validate server-side too.|Google,Meta
EASY|Git|DEVOPS_ENGINEER,BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Recovering an uncommitted experiment|A developer wants to try a risky refactor while keeping current work safe. How can Git help preserve a recoverable checkpoint?|Create a branch or commit/stash current work, understand untracked-file handling, and verify the working tree before destructive operations.|GitHub,Microsoft
EASY|Linux|DEVOPS_ENGINEER,BACKEND_DEVELOPER|Diagnosing a service that cannot write a file|A Linux process gets permission denied for a log file. Which checks would you perform before changing permissions broadly?|Check process identity, file and parent-directory ownership/mode, ACLs and mount flags; grant least privilege and avoid world-writable fixes.|Red Hat,Amazon
EASY|Docker|DEVOPS_ENGINEER,BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Reducing a container image|A Java service image is large because it contains compiler tools and source files. What build change can reduce the runtime image?|Use a multi-stage build, copy only the built artifact and runtime dependencies, choose a supported slim runtime base, and keep reproducibility/security in view.|Amazon,Google
